"path","dialogue_id","emotionality","neutrality","ed_dialog_emotion","plutchik_dialog_emotion","turn","start_time","end_time","text","ed_emotion","deemoji_emotion","ed_emotion_index","deemoji_emotion_index","ed_0","ed_1","ed_2","ed_3","ed_4","ed_5","ed_6","ed_7","ed_8","ed_9","ed_10","ed_11","ed_12","ed_13","ed_14","ed_15","ed_16","ed_17","ed_18","ed_19","ed_20","ed_21","ed_22","ed_23","ed_24","ed_25","ed_26","ed_27","ed_28","ed_29","ed_30","ed_31","ed_32","ed_33","ed_34","ed_35","ed_36","ed_37","ed_38","ed_39","ed_40","dm_0","dm_1","dm_2","dm_3","dm_4","dm_5","dm_6","dm_7","dm_8","dm_9","dm_10","dm_11","dm_12","dm_13","dm_14","dm_15","dm_16","dm_17","dm_18","dm_19","dm_20","dm_21","dm_22","dm_23","dm_24","dm_25","dm_26","dm_27","dm_28","dm_29","dm_30","dm_31","dm_32","dm_33","dm_34","dm_35","dm_36","dm_37","dm_38","dm_39","dm_40","dm_41","dm_42","dm_43","dm_44","dm_45","dm_46","dm_47","dm_48","dm_49","dm_50","dm_51","dm_52","dm_53","dm_54","dm_55","dm_56","dm_57","dm_58","dm_59","dm_60","dm_61","dm_62","dm_63","readability"
"1959/508326/5560007.xml","3097780","0.5468886397960001","0.4531113725683335","faithful","trust","4","00:02:19,105","00:02:20,470","I 'd better go in , Ben .","confident","👊","8","58","0.04596414","0.015524831","0.006791639","0.06595562","0.011662811","0.099138856","0.004082126","0.0014855757","0.15030213","0.0048790644","0.0021436214","0.0023533492","0.01877201","0.009556066","0.055540904","0.011373219","0.0024094216","0.0011964506","0.008056078","0.04851591","0.00445821","0.0045760716","0.009019101","0.0011469165","0.008598743","0.115938246","0.0025414305","0.0038973582","0.007098026","0.00608032","0.014933017","0.032941006","0.025206113","0.035356876","0.06817541","0.013550425","0.0054995297","0.04895747","0.010550953","0.005290641","0.0104803005","0.0118893","0.0249916","0.00766965","0.00624622","0.00368057","0.007019","0.011253","0.00836571","0.0125424","0.0244368","0.0098748","0.00699259","0.00705813","0.016632","0.0124497","0.0160098","0.0101376","0.00603435","0.00378282","0.0176515","0.00606368","0.00562218","0.00639426","0.00673469","0.0231387","0.0139239","0.0201823","0.00657295","0.00665913","0.0069041","0.0283233","0.0233976","0.0393986","0.0087956","0.00516353","0.00655008","0.00743688","0.0375771","0.0581332","0.0051848","0.0247661","0.0337964","0.0227047","0.0078903","0.0179709","0.00553574","0.00698035","0.0175013","0.0074985","0.0149411","0.0147527","0.0106879","0.00636983","0.0120751","0.0148707","0.0514787","0.0263308","0.0264648","0.0969523","0.00811841","0.00356049","0.00718591","0.0109062","0.0037869","2.3980764694496512"
"2009/1368368/4307549.xml","4599776","0.5572413696255385","0.442758627943769","afraid","fear","3","00:02:19,465","00:02:21,880","What 's happened , JJ ? I sold you that one three weeks back .","questioning","😳","38","12","0.0032940865","0.010253091","0.00044113956","0.0016465823","0.0009629774","0.0061894907","0.0026848062","0.0012215099","0.014201223","0.0033192858","0.0034466002","0.0018377977","0.0012290011","0.0034010918","0.0064342017","0.016843747","0.0025469745","0.00043433424","0.019306047","0.010880421","0.0012657436","0.0032397395","0.0027407885","0.0047350344","0.0051851775","0.0043451865","0.0009774213","0.009235203","0.007825574","0.0073469607","0.0014273075","0.009679153","0.009852428","0.0030382206","0.0016921369","0.0011827204","0.008676693","0.009432091","0.79157585","0.0021178422","0.003854361","0.0325594","0.0229996","0.012592","0.0261458","0.00287404","0.0260695","0.0069606","0.00514871","0.0028855","0.01707","0.0131","0.00327663","0.100039","0.00316349","0.00685944","0.00627195","0.00469727","0.00545956","0.00162871","0.023825","0.0197045","0.00388708","0.0364165","0.00314641","0.00270429","0.0359605","0.00813131","0.0244152","0.0207885","0.0165939","0.0162202","0.00713555","0.026703","0.00728716","0.0353919","0.0175851","0.00390393","0.0149132","0.0244119","0.00655955","0.0169572","0.0287941","0.0151335","0.0165641","0.00794786","0.0218669","0.0513607","0.00268733","0.00208251","0.0282805","0.0145868","0.0126983","0.01718","0.0105451","0.0102815","0.0279733","0.00932174","0.00497588","0.0136131","0.00197315","0.0012921","0.00491812","0.0219689","0.00151123","2.7780208916643225"
"1945/37939/4458032.xml","2389409","0.7988413200385714","0.2011586719471429","apprehensive","fear","6","00:25:01,266","00:25:04,030","Everything 's all right , ladies and gentlemen . Just keep on playing .","content","🎶","9","11","0.0011926558","0.021481935","0.006151151","0.0028875484","0.0015052897","0.0011276598","0.0022256894","0.013980128","0.0041935323","0.37153298","0.0038895584","0.00031854416","0.0019743731","0.0038457506","0.0013197385","0.019204313","0.0038873835","0.0009271274","0.0012114506","0.005366229","0.0018073204","0.00012318618","0.026655555","0.004229223","0.0026897155","0.0020556003","0.0011448676","0.0018580626","0.0026037178","0.002238963","0.0027120057","0.0071952296","0.018032787","0.032059435","0.007381732","0.023802077","0.08068424","0.01136397","0.27973965","0.01724091","0.0061587053","0.00490705","0.00572081","0.00298411","0.00187175","0.00670425","0.00316776","0.0573931","0.0244927","0.0114918","0.0306883","0.00993402","0.090163","0.00247853","0.0541952","0.005395","0.0441833","0.0210398","0.0228393","0.00720722","0.00408738","0.00599028","0.0112148","0.00371408","0.0144691","0.0135639","0.00431742","0.0253003","0.00235632","0.00471604","0.0021454","0.0339389","0.0254138","0.00282615","0.0437419","0.00185326","0.00410642","0.00719163","0.00545733","0.0146527","0.00128196","0.0584049","0.0123405","0.00508759","0.00239708","0.0148378","0.00273691","0.00396393","0.011627","0.0586618","0.0070577","0.0499148","0.00277211","0.00172881","0.0137504","0.0143946","0.00376408","0.00668523","0.0183651","0.0236584","0.0078845","0.00518319","0.0118964","0.00745566","0.0162355","2.614053803835032"
"1973/347808/7037908.xml","2138093","0.5584320405483334","0.4415679734999999","apprehensive","fear","1","00:19:06,920","00:19:10,117","Isn 't he joining us ? He 's drunk , he stayed in his room .","questioning","😂","38","0","0.011627498","0.0033468325","0.0009962001","0.0038663414","0.021498907","0.32133225","0.0019299516","0.00033806326","0.0019564817","0.0011552597","0.003902724","0.0027204314","0.0012532078","0.005693629","0.0043431763","0.00651132","0.0015812801","0.00031890124","0.0021872858","0.015598707","0.00089407666","0.00059833174","0.0016591416","0.06438905","0.003575091","0.0035949703","0.0007435821","0.019931577","0.0048073106","0.019695558","0.0036641727","0.003207282","0.004831542","0.0004045624","0.0012196808","0.001130685","0.0008239916","0.026703177","0.42170367","0.0010956394","0.003168435","0.0820147","0.0172977","0.016788","0.0233138","0.00498623","0.00593585","0.0172868","0.00840175","0.00561722","0.0239247","0.0125239","0.0288437","0.0460053","0.00549504","0.00755193","0.0098381","0.0115361","0.00927456","0.00344369","0.024878","0.0204619","0.00336858","0.0211308","0.00406917","0.0084939","0.0306005","0.0108245","0.00625102","0.0320582","0.0157071","0.0126211","0.0137538","0.00826291","0.0198377","0.00949109","0.00768517","0.00720104","0.00655022","0.0200603","0.0264757","0.0299885","0.0245991","0.0150532","0.00986833","0.0119311","0.00928339","0.00597051","0.00670631","0.0186107","0.031589","0.0176648","0.0242954","0.0160806","0.0270496","0.0289185","0.00926862","0.00964371","0.00798286","0.0143528","0.00333125","0.00240293","0.00474121","0.0167561","0.00404969","2.758088107174018"
"2013/3203932/6442525.xml","121212","0.5505943799276001","0.4494056231539999","annoyed","fear","1","00:11:12,800","00:11:14,700","My ears just popped .","afraid","😖","0","52","0.20531236","0.04030792","0.14070936","0.022563681","0.11470905","0.047312632","0.010061726","0.0176268","0.013894361","0.0047182576","0.026908489","0.02607434","0.01210426","0.02586665","0.017682156","0.0026106744","0.009634426","0.00467992","0.005095731","0.035693754","0.0014454485","0.003290122","0.0172917","0.0034116067","0.013589407","0.017745111","0.004403663","0.048630342","0.0044772816","0.018258438","0.041761644","0.0012223418","0.0082195345","0.0029062345","0.0025449574","0.0050531607","0.009157681","0.0051569096","0.003650993","0.00055524515","0.0036616647","0.00309748","0.0116719","0.0485093","0.0207747","0.000389488","0.0120523","0.00100149","0.000839527","0.000142604","0.00119726","0.00869826","0.000609861","0.085568","0.000414092","0.00179449","0.00109607","0.000573893","0.000586581","0.000102988","0.0206342","0.0137224","0.000382116","0.0204928","0.000105246","5.83315e-05","0.0291832","0.000579703","0.0194943","0.0103134","0.0765173","0.00122201","0.000471753","0.0106471","0.000677049","0.015422","0.0126466","0.00040123","0.015263","0.00280787","0.0292589","0.00107972","0.00920157","0.0246055","0.128178","0.000719907","0.0345537","0.00152894","0.000112635","0.00141931","0.00857768","0.000209593","0.0133427","0.251003","0.00154316","0.000901678","0.0116762","0.00557436","0.000234618","0.00275173","0.000154095","7.67077e-05","0.000139282","0.0227749","0.000220026","3.2104243964706325"
"2016/5843776/6757895.xml","6295808","0.5567186152987333","0.4432813960143181","confident","fear","2","00:05:08,463","00:05:13,008","Speakeasies of Los Angeles . This must be it , right ?","hopeful","😉","19","50","0.09610505","0.0026403433","0.002812139","0.014722233","0.04440843","0.082142375","0.0012593804","0.0030541874","0.014470819","0.0023095233","0.005655034","0.0068599377","0.0053173904","0.0055539296","0.016359726","0.005376601","0.0020594338","0.00045465698","0.012051455","0.25196627","0.0053775515","0.018000083","0.0024815653","0.0023592908","0.019187845","0.0005421674","0.002108308","0.0055677113","0.004791049","0.052869502","0.061750364","0.027460283","0.012421102","0.023362627","0.004125507","0.002935618","0.0020843525","0.039825052","0.13538451","0.00089111755","0.00089546485","0.0123833","0.00665502","0.00650847","0.0117552","0.017377","0.00906761","0.0193848","0.0157814","0.0136873","0.0383647","0.0315918","0.0415671","0.0240447","0.00347881","0.00259272","0.0137927","0.0187369","0.0178562","0.00745063","0.00679928","0.0204783","0.012562","0.0190019","0.00296163","0.0209204","0.0143565","0.0124086","0.0123962","0.0133446","0.00783131","0.0195575","0.0399177","0.00353082","0.0256533","0.0167303","0.00878185","0.0133615","0.00424701","0.00387011","0.00416606","0.0163366","0.0277361","0.0108108","0.0135183","0.0135404","0.0144558","0.012056","0.0160521","0.0204661","0.0154448","0.0450871","0.00943561","0.0124995","0.036539","0.0269216","0.00591916","0.0040351","0.0132061","0.0119853","0.0102106","0.0056924","0.0167111","0.0290962","0.0172912","2.9059444936588075"
"1995/1164721/6165094.xml","2969305","0.72625156751","0.27374840471","lonely","joy","1","00:03:28,840","00:03:37,360","Bottom of the 12th , two outs , two men on . Dad says it 's late , I say no way . Just as he 's about to send me to bed , wham !","angry","😴","1","14","0.040671963","0.3301712","0.035371155","0.007988739","0.003959261","0.035694588","0.009264574","0.0010059664","0.006261949","0.01441514","0.03421612","0.005292014","0.006902081","0.013321075","0.014407677","0.030109225","0.090720385","0.009776579","0.018360633","0.0043449337","0.0021852679","0.0019710776","0.027652381","0.017277446","0.00849717","0.018873671","0.01618342","0.011068392","0.004999288","0.02195126","0.10096767","0.004119346","0.008910735","0.003433718","0.0019466117","0.0032498615","0.0052457466","0.005606926","0.020029064","0.0019294433","0.001646247","0.0164064","0.0163981","0.00834695","0.00410373","0.00547443","0.00633656","0.0111807","0.00894127","0.00580146","0.0144966","0.0139553","0.0260631","0.0237371","0.00240455","0.0812453","0.00777447","0.0118605","0.00623633","0.00279151","0.0296771","0.00920315","0.00330017","0.00900755","0.00707568","0.00605974","0.0173627","0.00766843","0.00895181","0.0271993","0.0136783","0.0300344","0.00945889","0.0499257","0.0177174","0.0059894","0.00717843","0.0053727","0.027187","0.0270734","0.0183103","0.00782852","0.00512575","0.0192111","0.0176055","0.0102512","0.00899082","0.00393224","0.00634681","0.0150652","0.0204956","0.0226682","0.00296603","0.0196147","0.0145394","0.0284582","0.0598236","0.0382231","0.0111348","0.0436672","0.00343093","0.00211159","0.00563676","0.0190122","0.00287455","2.683111376997914"
"2000/179183/18163.xml","4461027","0.6992382365502062","0.3007617754177501","terrified","fear","2","00:24:33,932","00:24:38,854","You know ... I 've been wondering about you .","suggesting","💯","37","13","0.019208709","0.0012970712","0.0038283495","0.019068891","0.013378306","0.16273089","0.0073031513","0.053050287","0.0034607474","0.0034922173","0.001699879","0.011649956","0.0043353112","0.0041834293","0.008359343","0.008445042","0.00039579536","0.0013163864","0.012611387","0.016726369","0.0009111314","0.042630758","0.007241945","0.0063538575","0.043329418","0.0014023627","0.0027330616","0.0053077633","0.08593935","0.039975453","0.004994626","0.0047090156","0.020945245","0.04619855","0.003818028","0.0014086358","0.020565242","0.17674741","0.11152739","0.0027918718","0.013927367","0.00406423","0.00650029","0.00216964","0.0015065","0.00206544","0.00583385","0.0346595","0.00599655","0.0162793","0.0122004","0.00505798","0.0494812","0.00461449","0.135885","0.00617397","0.0116874","0.0070672","0.029858","0.00527998","0.00572616","0.00413986","0.0307386","0.0084064","0.00458398","0.0164469","0.00698311","0.0112143","0.00514788","0.00399939","0.00220481","0.0484866","0.0234709","0.0147411","0.0265735","0.00406946","0.00550944","0.00353865","0.0141578","0.0147142","0.00578986","0.0203915","0.017227","0.0338284","0.00431618","0.0242281","0.00536088","0.0150105","0.0173421","0.035031","0.0064865","0.0201039","0.00310418","0.00412414","0.00781083","0.0140689","0.0152008","0.0202707","0.0209798","0.0525795","0.0110147","0.00478248","0.0139333","0.00814277","0.017638","2.5687493285634786"
"1947/39615/4239331.xml","6324991","0.7055390394282308","0.2944609526353845","faithful","anticipating","4","01:19:55,720","01:19:59,872","Without immediate success , you get in a panic .","afraid","💯","0","13","0.5240904","0.0014249581","0.0004992204","0.0036061604","0.09765373","0.0921149","0.0012876745","0.0005845839","0.0013382025","0.0005151767","0.011276466","0.0012382998","0.0007106126","0.0039156205","0.0024087233","0.001823402","0.0004995476","0.00092692993","0.0013291535","0.0026324613","0.00015681732","0.00049999106","0.0006799959","0.0045832344","0.0038791327","0.004172529","0.00048463637","0.005690274","0.0014199722","0.0005281674","0.18729393","0.001156724","0.010164274","0.0030281877","0.0006482323","0.005016099","0.002871929","0.0070786383","0.0060501033","0.0001875342","0.0045333887","0.00500452","0.00665763","0.00647427","0.00528628","0.0014554","0.0136442","0.0267456","0.00681273","0.00286313","0.0111498","0.0144327","0.0161398","0.0226543","0.0804853","0.00381304","0.0167588","0.00521003","0.0199464","0.00173911","0.0083668","0.0295365","0.0209412","0.0169788","0.00149339","0.00274299","0.0178379","0.0105047","0.0137475","0.0135305","0.00896718","0.0344052","0.0327669","0.00432777","0.0318102","0.00822173","0.0126765","0.00268485","0.0171346","0.0226898","0.00886267","0.0164546","0.0123785","0.0211351","0.0236819","0.0282608","0.0295692","0.0111511","0.00299033","0.0259097","0.00855836","0.0165257","0.0120895","0.0347314","0.00840225","0.00996328","0.00499581","0.0376155","0.033771","0.0262973","0.00265891","0.00126311","0.00370489","0.0268811","0.0135101","2.8821289894264432"
"2015/3511596/6427437.xml","1261950","0.7181106617235251","0.2818893304362687","angry","sadness","1","00:18:38,869","00:18:40,980","Goddamn it , Angela !","angry","🎶","1","11","0.0046614343","0.44695583","0.016339183","0.003902487","0.0004820576","0.0013923122","0.008500381","0.00042626227","0.0052534514","0.001071562","0.049616095","0.011531669","0.011183655","0.0031654749","0.0037438374","0.0032779055","0.2401212","0.0013617025","0.002875999","0.004074901","0.009617863","0.005073914","0.004430859","0.007348938","0.0041135815","0.0050237835","0.0056145997","0.015960928","0.0022405398","0.0023421075","0.0036536758","0.0010346051","0.01712067","0.0059666806","0.00484523","0.010926126","0.002759327","0.0058605704","0.04665628","0.012418559","0.007053712","0.0209231","0.0243499","0.0100384","0.00973869","0.00189611","0.0133961","0.00762201","0.00276705","0.00217163","0.0284303","0.00693816","0.117053","0.0626869","0.00668848","0.014166","0.00788593","0.0026227","0.00532047","0.00173006","0.026426","0.0196336","0.00524056","0.0513987","0.00111796","0.00136243","0.0348701","0.00752442","0.0128871","0.0125765","0.010178","0.00567609","0.00906888","0.0164364","0.00628263","0.0103075","0.0114498","0.00264036","0.0140635","0.0182079","0.00488251","0.00715581","0.0604875","0.0131165","0.012044","0.0241833","0.0187362","0.0095304","0.00188106","0.0807045","0.01216","0.0114502","0.0180881","0.0129372","0.00795288","0.00739702","0.0191723","0.0142621","0.00364369","0.0106478","0.00198849","0.000714954","0.00443458","0.0147265","0.00392835","2.719885664502052"
